	RBM47	RBM5	SRSF10	SRSF1	SRSF3	SRSF7	SRSF9	ELAVL1	PTBP1PTBP2	RBFOX2	RBM10	RBM15	RBM22	RBM27
Epha5_4_e2	0	1	0	0	2	0	0	0	0	1	0	0	1	0
Epha5_4_se	1	0	0	1	3	1	1	1	0	2	0	0	1	0
Epha5_6_e1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Epha5_6_e2	0	1	0	0	2	0	0	0	0	1	0	0	1	0
Epha5_6_se	1	0	1	0	1	0	0	0	1	1	0	0	0	0
Epn1_1_e1	0	1	0	1	1	0	0	0	0	1	0	1	2	2
Epn1_1_e2	0	1	0	0	0	0	1	0	1	1	1	1	2	1
Epn1_1_se	0	3	0	2	0	0	0	0	1	2	0	1	2	2
Epn2_10_e1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
Epn2_10_e2	0	1	0	1	1	0	0	0	0	2	0	0	1	0
Epn2_10_se	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Epn2_14_e1	1	0	1	0	2	0	0	1	2	0	0	1	2	0
Epn2_14_e2	0	1	0	1	1	0	0	0	0	1	0	1	2	1
Epn2_14_se	0	1	0	0	2	0	0	0	1	0	0	0	2	0
Epn2_5_e1	1	0	1	0	2	0	0	1	2	0	0	1	2	0
Epn2_5_e2	0	1	0	1	1	0	0	0	0	1	0	1	2	1
Epn2_5_se	0	0	0	0	2	0	1	0	2	0	0	0	0	0
Epn2_8_e1	0	0	0	1	0	0	0	0	0	1	1	0	1	0
Epn2_8_e2	0	1	0	0	0	0	0	0	0	2	0	1	1	1
Epn2_8_se	0	0	0	0	1	0	0	0	1	5	0	3	2	3
Eps15_7_e1	0	1	0	1	2	0	0	0	1	1	0	1	1	1
Eps15_7_e2	2	0	2	0	1	1	1	0	1	0	1	0	0	0
Eps15_7_se	2	0	1	0	0	0	2	0	0	0	0	0	0	0
Eps15l1_5_e1	0	1	0	0	2	0	1	0	2	1	0	1	1	0
Eps15l1_5_e2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eps15l1_5_se	1	1	0	0	1	0	1	1	2	2	2	3	2	1
Eps15l1_6_e1	0	1	0	0	2	0	1	0	2	1	0	1	1	0
Eps15l1_6_e2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eps15l1_6_se	1	1	1	1	3	1	1	1	3	1	2	1	1	3
Eps15l1_7_e1	1	0	0	0	1	0	0	1	0	0	1	0	0	1
Eps15l1_7_e2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Eps15l1_7_se	1	1	0	0	1	0	1	1	2	2	2	3	2	1
Eps15l1_8_e1	0	1	0	0	2	0	1	0	2	1	0	1	1	0
Eps15l1_8_e2	0	1	0	0	0	0	0	0	0	1	0	2	1	1
Eps15l1_8_se	1	1	1	1	3	1	1	1	3	1	2	1	1	3
Erc1_5_e1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Erc1_5_e2	0	1	1	1	2	0	0	0	0	1	1	3	1	2
Erc1_5_se	1	0	0	1	3	2	2	2	1	3	1	0	1	0
Erc2_1_e1	2	0	0	0	0	1	0	3	2	0	1	0	0	0
Erc2_1_e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Erc2_1_se	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Erc2_2_e1	0	0	0	0	1	1	2	1	1	0	1	0	0	0
Erc2_2_e2	0	0	2	0	1	0	0	1	1	0	0	0	0	0
Erc2_2_se	0	2	0	0	0	0	0	0	0	0	0	0	1	0
Erc2_4_e1	1	2	0	0	2	0	0	1	0	2	0	0	1	0
Erc2_4_e2	0	1	0	0	1	1	0	0	0	1	1	0	1	1
Erc2_4_se	1	1	2	1	1	0	0	1	0	1	1	1	1	1
Erc2_6_e1	0	0	1	0	1	1	0	0	2	0	1	0	0	0
Erc2_6_e2	0	0	0	0	2	0	0	0	0	1	0	1	0	0
Erc2_6_se	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Erc2_8_e1	0	2	0	2	0	0	2	0	0	2	0	2	2	3
Erc2_8_e2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Erc2_8_se	0	0	1	0	1	0	0	0	1	0	0	0	1	0
Ercc8_5_e1	1	0	0	0	0	0	1	0	2	0	0	0	0	0
Ercc8_5_e2	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Ercc8_5_se	1	0	0	1	2	2	1	1	1	1	0	0	0	0
Ercc8_nmdSE_1_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ercc8_nmdSE_1_e2	1	0	0	1	1	2	2	1	1	0	1	0	0	0
Ercc8_nmdSE_1_se	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ergic3_3_e1	0	0	0	1	0	0	2	0	0	0	0	0	1	0
Ergic3_3_e2	0	1	1	0	0	0	0	0	1	1	0	0	1	0
Ergic3_3_se	0	1	1	2	0	1	1	0	0	2	1	1	1	1
Erh_1_e1	0	0	0	0	3	0	0	1	0	0	0	0	0	0
Erh_1_e2	0	1	0	0	2	1	1	0	0	2	1	2	1	2
Erh_1_se	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Eri3_5_e1	0	1	0	0	0	0	0	0	0	2	1	2	2	1
Eri3_5_e2	1	0	2	0	0	0	1	0	0	0	0	0	0	0
Eri3_5_se	1	0	3	1	2	3	2	0	1	0	1	0	0	0
Erlin2_1_e1	0	1	0	1	1	0	1	0	0	3	2	1	2	2
Erlin2_1_e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin2_1_se	0	0	0	1	2	1	1	0	2	0	1	0	0	0
Erlin2_3_e1	1	0	0	2	1	0	0	1	0	1	1	0	0	1
Erlin2_3_e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin2_3_se	0	0	0	1	2	1	1	0	2	0	1	0	0	0
Erp29_1_e1	0	0	0	1	1	0	0	0	1	0	0	0	1	0
Erp29_1_e2	0	2	0	1	0	0	0	0	1	2	0	2	3	3
Erp29_1_se	0	3	1	1	2	1	1	0	0	2	0	0	3	0
Esd_4_e1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
