	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
Use1_1	mean_1_var_2	0.0340632163026729	0.000999000999000999	0.0011364297078582792	1.2204943099505203e-06	
Use1_2	mean_1_var_2	0.021776586311354727	0.000999000999000999	0.0011364297078582792	0.00017298017436505054	
Zcrb1_2	mean_1_var_2	0.09652757626321389	0.000999000999000999	0.0011364297078582792	5.214584297287924e-26	
Add1_5	mean_1_var_3	0.03759496763511696	0.000999000999000999	0.0011364297078582792	1.4293888494934318e-05	
Chtop_2	mean_1_var_3	0.16763626238303672	0.000999000999000999	0.0011364297078582792	1.3729043486810763e-44	
Ctbp1_14	mean_1_var_3	0.03906811851391236	0.000999000999000999	0.0011364297078582792	8.727926859849314e-06	
Dph3_1	mean_1_var_3	0.04341125849846846	0.000999000999000999	0.0011364297078582792	1.9035251747061889e-06	
Dph3_nmdSE_1	mean_1_var_3	0.04397582180019221	0.000999000999000999	0.0011364297078582792	1.5499608310066868e-06	
Dusp3_1	mean_1_var_3	0.018327213137865055	0.000999000999000999	0.0011364297078582792	0.0031089161153820296	
Fam76a_2	mean_1_var_3	0.10093019146609576	0.000999000999000999	0.0011364297078582792	1.8534684502208117e-19	
Hp1bp3_2	mean_1_var_3	0.053266481471277875	0.000999000999000999	0.0011364297078582792	4.104599539825815e-08	
Ift20_1	mean_1_var_3	0.31314937728902414	0.000999000999000999	0.0011364297078582792	3.9109369630197416e-137	
Mrpl27_5	mean_1_var_3	0.03847474307576165	0.000999000999000999	0.0011364297078582792	1.066150538206784e-05	
Papss1_4	mean_1_var_3	0.05353190404329613	0.000999000999000999	0.0011364297078582792	3.674529693196475e-08	
Pex5l_4	mean_1_var_3	0.07937794506795187	0.000999000999000999	0.0011364297078582792	1.1919961565011162e-13	
Rer1_2	mean_1_var_3	0.08388720824492336	0.000999000999000999	0.0011364297078582792	8.994367522910014e-15	
Rer1_3	mean_1_var_3	0.09523285809303322	0.000999000999000999	0.0011364297078582792	8.179752247594958e-18	
Rnf141_1	mean_1_var_3	0.07772700003077704	0.000999000999000999	0.0011364297078582792	2.984720775549448e-13	
Rsrc2_9	mean_1_var_3	0.10322486754727259	0.000999000999000999	0.0011364297078582792	3.830920426593389e-20	
Rtn4_6	mean_1_var_3	0.09943354271499436	0.000999000999000999	0.0011364297078582792	5.101188703231971e-19	
Scnm1_2	mean_1_var_3	0.11395406471230311	0.000999000999000999	0.0011364297078582792	1.6305417045537744e-23	
Setd3_2	mean_1_var_3	0.10325564386600576	0.000999000999000999	0.0011364297078582792	3.7500177309824056e-20	
Sort1_2	mean_1_var_3	0.05241897751701167	0.000999000999000999	0.0011364297078582792	5.829528729755746e-08	
Srsf10_nmdSE_1	mean_1_var_3	0.14728970546085995	0.000999000999000999	0.0011364297078582792	8.954681452583364e-36	
Stx4a_2	mean_1_var_3	0.5440292791185356	0.000999000999000999	0.0011364297078582792	0.0	
U2surp_1	mean_1_var_3	0.05308251333325468	0.000999000999000999	0.0011364297078582792	4.430876284160698e-08	
Ube2e2_3	mean_1_var_3	0.08130715057838543	0.000999000999000999	0.0011364297078582792	4.0006098789321606e-14	
Ube2k_9	mean_1_var_3	0.18015123312238887	0.000999000999000999	0.0011364297078582792	1.6366368825254405e-50	
Ube2v2_1	mean_1_var_3	0.033532193797429506	0.000999000999000999	0.0011364297078582792	5.243624831662688e-05	
Ube3a_3	mean_1_var_3	0.06072328303439778	0.000999000999000999	0.0011364297078582792	1.5805986291007864e-09	
Zcchc17_2	mean_1_var_3	0.09223743677818001	0.000999000999000999	0.0011364297078582792	5.571042387605563e-17	
Zfp106_10	mean_1_var_3	0.043915047012948065	0.000999000999000999	0.0011364297078582792	1.584759252697594e-06	
Add1_2	mean_1_var_4	0.8071597989646824	0.000999000999000999	0.0011364297078582792	0.0	
Add1_4	mean_1_var_4	0.7327746096299138	0.000999000999000999	0.0011364297078582792	0.0	
Add3_1	mean_1_var_4	0.25572404261012477	0.000999000999000999	0.0011364297078582792	4.4378777017647284e-97	
Cr1l_1	mean_1_var_4	0.06764449044345389	0.000999000999000999	0.0011364297078582792	3.081317478085979e-11	
Csde1_4	mean_1_var_4	0.045288017779164545	0.000999000999000999	0.0011364297078582792	6.635710365704481e-07	
Dip2a_1	mean_1_var_4	0.024220238112089478	0.000999000999000999	0.0011364297078582792	0.000619424799905313	
Dnlz_1	mean_1_var_4	0.06967109815784807	0.000999000999000999	0.0011364297078582792	1.0841665617685312e-11	
Eif4h_1	mean_1_var_4	0.22795081032619285	0.000999000999000999	0.0011364297078582792	8.190569988795131e-79	
Gal3st1_1	mean_1_var_4	0.02666858401836736	0.000999000999000999	0.0011364297078582792	0.0003172710139989338	
Gnb1_2	mean_1_var_4	0.0928478510991374	0.000999000999000999	0.0011364297078582792	1.3273776397380343e-17	
Hp1bp3_1	mean_1_var_4	0.12309923400432263	0.000999000999000999	0.0011364297078582792	2.4718905437715494e-27	
Kars_4	mean_1_var_4	0.05318695686754021	0.000999000999000999	0.0011364297078582792	2.698152893192253e-08	
Map7d1_1	mean_1_var_4	0.059495382515543795	0.000999000999000999	0.0011364297078582792	1.6236295641246005e-09	
Nfasc_4	mean_1_var_4	0.17284509903353507	0.000999000999000999	0.0011364297078582792	2.5781231582737736e-48	
Rnf14_6	mean_1_var_4	0.2528058333898036	0.000999000999000999	0.0011364297078582792	4.54709394648965e-95	
Smap1_3	mean_1_var_4	0.5418083879239434	0.000999000999000999	0.0011364297078582792	0.0	
Spg20_1	mean_1_var_4	0.06184475981898757	0.000999000999000999	0.0011364297078582792	5.381555681948142e-10	
Tcf7l2_1	mean_1_var_4	0.12219851452459664	0.000999000999000999	0.0011364297078582792	5.197188735927109e-27	
Tor1aip2_4	mean_1_var_4	0.018241459825968635	0.000999000999000999	0.0011364297078582792	0.002768102226303235	
Ube3a_4	mean_1_var_4	0.058715772376878854	0.000999000999000999	0.0011364297078582792	2.3260878671030956e-09	
Zcchc17_5	mean_1_var_4	0.12060108833941369	0.000999000999000999	0.0011364297078582792	1.9193487717099298e-26	
Adam15_3	mean_1_var_5	1.6004098579882475	0.000999000999000999	0.0011364297078582792	0.0	
Adam15_4	mean_1_var_5	1.38907992422044	0.000999000999000999	0.0011364297078582792	0.0	
Agpat3_3	mean_1_var_5	0.09941565517364047	0.000999000999000999	0.0011364297078582792	3.8165390712631737e-25	
Cdc42bpa_8	mean_1_var_5	0.270248027361163	0.000999000999000999	0.0011364297078582792	6.193135711087817e-144	
Dctn1_6	mean_1_var_5	0.41662076357635525	0.000999000999000999	0.0011364297078582792	0.0	
Fermt2_2	mean_1_var_5	0.34872277285038744	0.000999000999000999	0.0011364297078582792	3.554802617358898e-232	
Fgfr1op2_2	mean_1_var_5	0.39265483647222327	0.000999000999000999	0.0011364297078582792	7.66726748777085e-291	
Fopnl_1	mean_1_var_5	0.3788710512469951	0.000999000999000999	0.0011364297078582792	1.0174524940100281e-271	
Gng12_1	mean_1_var_5	0.09767096913680472	0.000999000999000999	0.0011364297078582792	1.8966021684699858e-24	
Gng12_5	mean_1_var_5	0.07647936170901684	0.000999000999000999	0.0011364297078582792	8.050518173596894e-17	
Gsn_4	mean_1_var_5	1.0505822697988836	0.000999000999000999	0.0011364297078582792	0.0	
Hnrnpd_4	mean_1_var_5	0.09633770260785518	0.000999000999000999	0.0011364297078582792	6.354347231922213e-24	
Hnrnpf_3	mean_1_var_5	0.17267915685904467	0.000999000999000999	0.0011364297078582792	8.404126334409762e-64	
